Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C9",0402,5,100n,
"C11, C18",0402,2,10uF,
"C12, C25, C26",0402,3,100nF,
C17,0603,1,10uF,
"C19, C22",0603,2,1uF,
C20,0402,1,4.7uF,
C21,0402,1,0.1uF,
"C23, C24",0402,2,1uF,
"C4, C6, C7, C8",0402,4,470n,
C5,0402,1,4.7u,
D1,0603,1,LED,
"J1, J3",SolderWirePad_1x01_SMD_1x2mm,2,Conn_01x01_Socket,
J12,MOLEX_104031-0811,1,104031-0811,
J13,AMPHENOL_10051922-1810ELF,1,10051922-1810ELF,
J2,AMPHENOL_GSB1C41110SSHR,1,GSB1C41110SSHR,
J7,CONN_S2B-PH-K-S_JST,1,Conn_01x02_Socket,
Q3,TRANS_IRLML6344TRPBF,1,IRLML6344TRPBF,
R1,0805,1,10k,
"R10, R26, R27, R28, R29, R30, R31, R9",0402,8,4.7k,
"R12, R17, R25",0402,3,10k,
"R13, R15",0402,2,5.1k,
R14,0402,1,100k,
R16,0402,1,10R,
R2,0402,1,100R,
"SW1, SW2",SWITCH_0SMTRLFS-L,2,SW_Push_Dual,
U1,QFN50P700X700X80-49N,1,AD5941BCPZ,
U2,LGA14-L_2P59X3P1X0P5_STM,1,LSM6DSVTR,
U3,XCVR_ESP32S3WROOM1N8R8,1,ESP32-S3-WROOM-1-N8R8,
U4,SOT95P270X145-5N,1,MCP73831T-2DCI_OT,MCP73831T-2DCI/OT
U5,PSON40P160X120X45-9N,1,NCP186AMX330TAG,
